"NM","CD","GUBUN","INCOME_SCTN_CD_1","TOT_HSHLD_CO_1","INCOME_SCTN_CD_2","TOT_HSHLD_CO_2","INCOME_SCTN_CD_3","TOT_HSHLD_CO_3"
"상계9동","11350710","dong","7분위:2,983,559~3,741,082원","8586","7분위:2,983,559~3,741,082원","8492","6분위:2,440,600~2,983,558원","8465"
"상계10동","11350720","dong","7분위:2,983,559~3,741,082원","6724","7분위:2,983,559~3,741,082원","6644","7분위:2,983,559~3,741,082원","6589"
"은평구","11380","gu","7분위:2,983,559~3,741,082원","202285","7분위:2,983,559~3,741,082원","204752","6분위:2,440,600~2,983,558원","205416"
"녹번동","11380510","dong","7분위:2,983,559~3,741,082원","14343","6분위:2,440,600~2,983,558원","14948","7분위:2,983,559~3,741,082원","17057"
"불광1동","11380520","dong","7분위:2,983,559~3,741,082원","12891","7분위:2,983,559~3,741,082원","12726","7분위:2,983,559~3,741,082원","12794"
"불광2동","11380530","dong","6분위:2,440,600~2,983,558원","18230","6분위:2,440,600~2,983,558원","18585","6분위:2,440,600~2,983,558원","18887"
"갈현1동","11380551","dong","6분위:2,440,600~2,983,558원","10948","6분위:2,440,600~2,983,558원","11002","6분위:2,440,600~2,983,558원","11081"
"갈현2동","11380552","dong","6분위:2,440,600~2,983,558원","12395","6분위:2,440,600~2,983,558원","12441","6분위:2,440,600~2,983,558원","12572"
"구산동","11380560","dong","6분위:2,440,600~2,983,558원","12595","6분위:2,440,600~2,983,558원","12765","6분위:2,440,600~2,983,558원","13143"
"대조동","11380570","dong","6분위:2,440,600~2,983,558원","15499","6분위:2,440,600~2,983,558원","15670","6분위:2,440,600~2,983,558원","13840"
"응암1동","11380580","dong","6분위:2,440,600~2,983,558원","11337","6분위:2,440,600~2,983,558원","11174","6분위:2,440,600~2,983,558원","11363"
"응암2동","11380590","dong","8분위:3,741,083~4,890,361원","5836","8분위:3,741,083~4,890,361원","4908","7분위:2,983,559~3,741,082원","4985"
"응암3동","11380600","dong","6분위:2,440,600~2,983,558원","14309","6분위:2,440,600~2,983,558원","15568","6분위:2,440,600~2,983,558원","15705"
"역촌동","11380625","dong","6분위:2,440,600~2,983,558원","20577","6분위:2,440,600~2,983,558원","20638","6분위:2,440,600~2,983,558원","20705"
"신사1동","11380631","dong","6분위:2,440,600~2,983,558원","11324","6분위:2,440,600~2,983,558원","11595","6분위:2,440,600~2,983,558원","11697"
"신사2동","11380632","dong","6분위:2,440,600~2,983,558원","8988","6분위:2,440,600~2,983,558원","9023","6분위:2,440,600~2,983,558원","9210"
"증산동","11380640","dong","7분위:2,983,559~3,741,082원","7355","7분위:2,983,559~3,741,082원","7099","6분위:2,440,600~2,983,558원","7121"
"수색동","11380650","dong","7분위:2,983,559~3,741,082원","6087","7분위:2,983,559~3,741,082원","4762","7분위:2,983,559~3,741,082원","3625"
"진관동","11380690","dong","8분위:3,741,083~4,890,361원","19571","8분위:3,741,083~4,890,361원","21848","8분위:3,741,083~4,890,361원","21631"
"서대문구","11410","gu","7분위:2,983,559~3,741,082원","137624","7분위:2,983,559~3,741,082원","137284","7분위:2,983,559~3,741,082원","139485"
"천연동","11410520","dong","8분위:3,741,083~4,890,361원","8262","8분위:3,741,083~4,890,361원","8190","8분위:3,741,083~4,890,361원","8067"
"북아현동","11410555","dong","8분위:3,741,083~4,890,361원","7096","8분위:3,741,083~4,890,361원","7501","8분위:3,741,083~4,890,361원","7449"
"충현동","11410565","dong","7분위:2,983,559~3,741,082원","8985","7분위:2,983,559~3,741,082원","8828","7분위:2,983,559~3,741,082원","8894"
"신촌동","11410585","dong","7분위:2,983,559~3,741,082원","10957","7분위:2,983,559~3,741,082원","11914","7분위:2,983,559~3,741,082원","12327"
"연희동","11410615","dong","7분위:2,983,559~3,741,082원","18142","7분위:2,983,559~3,741,082원","18514","7분위:2,983,559~3,741,082원","19264"
"홍제1동","11410620","dong","7분위:2,983,559~3,741,082원","10175","7분위:2,983,559~3,741,082원","9452","7분위:2,983,559~3,741,082원","10317"
"홍제3동","11410640","dong","7분위:2,983,559~3,741,082원","7442","7분위:2,983,559~3,741,082원","7057","6분위:2,440,600~2,983,558원","7107"
"홍제2동","11410655","dong","8분위:3,741,083~4,890,361원","5993","8분위:3,741,083~4,890,361원","5777","7분위:2,983,559~3,741,082원","5830"
"홍은1동","11410660","dong","7분위:2,983,559~3,741,082원","9569","7분위:2,983,559~3,741,082원","9183","7분위:2,983,559~3,741,082원","9189"
"홍은2동","11410685","dong","7분위:2,983,559~3,741,082원","12548","6분위:2,440,600~2,983,558원","13008","6분위:2,440,600~2,983,558원","12064"
"남가좌1동","11410690","dong","8분위:3,741,083~4,890,361원","6365","8분위:3,741,083~4,890,361원","6261","8분위:3,741,083~4,890,361원","6275"
"남가좌2동","11410700","dong","7분위:2,983,559~3,741,082원","10212","7분위:2,983,559~3,741,082원","9995","7분위:2,983,559~3,741,082원","11058"
"북가좌1동","11410710","dong","8분위:3,741,083~4,890,361원","6756","8분위:3,741,083~4,890,361원","6421","8분위:3,741,083~4,890,361원","6539"
"북가좌2동","11410720","dong","6분위:2,440,600~2,983,558원","15122","6분위:2,440,600~2,983,558원","15183","6분위:2,440,600~2,983,558원","15105"
"마포구","11440","gu","8분위:3,741,083~4,890,361원","168882","8분위:3,741,083~4,890,361원","170229","8분위:3,741,083~4,890,361원","143749"
"아현동","11440555","dong","9분위:4,890,362~6,945,811원","11491","9분위:4,890,362~6,945,811원","11321","9분위:4,890,362~6,945,811원","11055"
"공덕동","11440565","dong","8분위:3,741,083~4,890,361원","16561","8분위:3,741,083~4,890,361원","17548","8분위:3,741,083~4,890,361원","14982"
"도화동","11440585","dong","8분위:3,741,083~4,890,361원","9755","8분위:3,741,083~4,890,361원","9515","8분위:3,741,083~4,890,361원","7746"
"용강동","11440590","dong","8분위:3,741,083~4,890,361원","8419","8분위:3,741,083~4,890,361원","8414","8분위:3,741,083~4,890,361원","7247"
"대흥동","11440600","dong","7분위:2,983,559~3,741,082원","7009","7분위:2,983,559~3,741,082원","7154","7분위:2,983,559~3,741,082원","5331"
"염리동","11440610","dong","8분위:3,741,083~4,890,361원","5672","8분위:3,741,083~4,890,361원","5832","8분위:3,741,083~4,890,361원","6806"
"신수동","11440630","dong","8분위:3,741,083~4,890,361원","9096","8분위:3,741,083~4,890,361원","9127","8분위:3,741,083~4,890,361원","6601"
"서강동","11440655","dong","8분위:3,741,083~4,890,361원","11628","8분위:3,741,083~4,890,361원","11486","8분위:3,741,083~4,890,361원","9004"
"서교동","11440660","dong","7분위:2,983,559~3,741,082원","13781","7분위:2,983,559~3,741,082원","13283","7분위:2,983,559~3,741,082원","10778"
"합정동","11440680","dong","7분위:2,983,559~3,741,082원","9588","7분위:2,983,559~3,741,082원","9048","7분위:2,983,559~3,741,082원","9580"
"망원1동","11440690","dong","6분위:2,440,600~2,983,558원","10129","6분위:2,440,600~2,983,558원","10410","6분위:2,440,600~2,983,558원","8087"
"망원2동","11440700","dong","7분위:2,983,559~3,741,082원","8392","7분위:2,983,559~3,741,082원","8224","6분위:2,440,600~2,983,558원","6199"
"연남동","11440710","dong","7분위:2,983,559~3,741,082원","8713","7분위:2,983,559~3,741,082원","8708","6분위:2,440,600~2,983,558원","6806"
"성산1동","11440720","dong","6분위:2,440,600~2,983,558원","9182","6분위:2,440,600~2,983,558원","9178","6분위:2,440,600~2,983,558원","7249"
"성산2동","11440730","dong","8분위:3,741,083~4,890,361원","16910","7분위:2,983,559~3,741,082원","18209","7분위:2,983,559~3,741,082원","15482"
"상암동","11440740","dong","8분위:3,741,083~4,890,361원","12556","8분위:3,741,083~4,890,361원","12772","8분위:3,741,083~4,890,361원","10796"
"양천구","11470","gu","8분위:3,741,083~4,890,361원","176513","8분위:3,741,083~4,890,361원","174836","8분위:3,741,083~4,890,361원","176937"
"목1동","11470510","dong","9분위:4,890,362~6,945,811원","10451","9분위:4,890,362~6,945,811원","9621","9분위:4,890,362~6,945,811원","10486"
"목2동","11470520","dong","7분위:2,983,559~3,741,082원","12561","7분위:2,983,559~3,741,082원","12765","7분위:2,983,559~3,741,082원","13073"
"목3동","11470530","dong","7분위:2,983,559~3,741,082원","9039","7분위:2,983,559~3,741,082원","9749","7분위:2,983,559~3,741,082원","9934"
"목4동","11470540","dong","7분위:2,983,559~3,741,082원","10206","7분위:2,983,559~3,741,082원","10046","7분위:2,983,559~3,741,082원","10127"
"목5동","11470550","dong","9분위:4,890,362~6,945,811원","13890","9분위:4,890,362~6,945,811원","13555","9분위:4,890,362~6,945,811원","13530"
"신월1동","11470560","dong","5분위:2,020,852~2,440,599원","10080","5분위:2,020,852~2,440,599원","10047","5분위:2,020,852~2,440,599원","10116"
"신월2동","11470570","dong","6분위:2,440,600~2,983,558원","8779","6분위:2,440,600~2,983,558원","8566","6분위:2,440,600~2,983,558원","8558"
"신월3동","11470580","dong","5분위:2,020,852~2,440,599원","8119","5분위:2,020,852~2,440,599원","7930","5분위:2,020,852~2,440,599원","8136"
"신월4동","11470590","dong","6분위:2,440,600~2,983,558원","6960","6분위:2,440,600~2,983,558원","6882","6분위:2,440,600~2,983,558원","6889"
"신월5동","11470600","dong","6분위:2,440,600~2,983,558원","6284","6분위:2,440,600~2,983,558원","6680","6분위:2,440,600~2,983,558원","6349"
"신월6동","11470610","dong","6분위:2,440,600~2,983,558원","2734","6분위:2,440,600~2,983,558원","2551","6분위:2,440,600~2,983,558원","2493"
"신월7동","11470611","dong","6분위:2,440,600~2,983,558원","10195","6분위:2,440,600~2,983,558원","10203","6분위:2,440,600~2,983,558원","10169"
"신정1동","11470620","dong","9분위:4,890,362~6,945,811원","7989","9분위:4,890,362~6,945,811원","7194","9분위:4,890,362~6,945,811원","7204"
"신정2동","11470630","dong","9분위:4,890,362~6,945,811원","7329","8분위:3,741,083~4,890,361원","7193","8분위:3,741,083~4,890,361원","7167"
"신정3동","11470640","dong","7분위:2,983,559~3,741,082원","17582","7분위:2,983,559~3,741,082원","16681","7분위:2,983,559~3,741,082원","16976"
"신정4동","11470650","dong","6분위:2,440,600~2,983,558원","15405","6분위:2,440,600~2,983,558원","15934","6분위:2,440,600~2,983,558원","15946"
"신정6동","11470670","dong","9분위:4,890,362~6,945,811원","7758","9분위:4,890,362~6,945,811원","8026","9분위:4,890,362~6,945,811원","8162"
"신정7동","11470680","dong","8분위:3,741,083~4,890,361원","11152","8분위:3,741,083~4,890,361원","11213","8분위:3,741,083~4,890,361원","11622"
"강서구","11500","gu","7분위:2,983,559~3,741,082원","252249","7분위:2,983,559~3,741,082원","256450","7분위:2,983,559~3,741,082원","261572"
"염창동","11500510","dong","8분위:3,741,083~4,890,361원","14438","8분위:3,741,083~4,890,361원","14337","8분위:3,741,083~4,890,361원","15230"
"등촌1동","11500520","dong","7분위:2,983,559~3,741,082원","10991","7분위:2,983,559~3,741,082원","11434","7분위:2,983,559~3,741,082원","12042"
"등촌2동","11500530","dong","7분위:2,983,559~3,741,082원","8193","7분위:2,983,559~3,741,082원","8573","7분위:2,983,559~3,741,082원","8677"
"등촌3동","11500535","dong","7분위:2,983,559~3,741,082원","15057","7분위:2,983,559~3,741,082원","14652","7분위:2,983,559~3,741,082원","14775"
"화곡1동","11500540","dong","6분위:2,440,600~2,983,558원","25048","6분위:2,440,600~2,983,558원","25572","6분위:2,440,600~2,983,558원","26369"
"화곡2동","11500550","dong","6분위:2,440,600~2,983,558원","8406","6분위:2,440,600~2,983,558원","8217","5분위:2,020,852~2,440,599원","8244"
"화곡3동","11500560","dong","7분위:2,983,559~3,741,082원","9076","7분위:2,983,559~3,741,082원","9215","7분위:2,983,559~3,741,082원","9399"
"화곡4동","11500570","dong","6분위:2,440,600~2,983,558원","10045","6분위:2,440,600~2,983,558원","9738","5분위:2,020,852~2,440,599원","9611"
"화곡본동","11500590","dong","6분위:2,440,600~2,983,558원","15941","6분위:2,440,600~2,983,558원","16201","5분위:2,020,852~2,440,599원","16434"
"화곡6동","11500591","dong","7분위:2,983,559~3,741,082원","10797","7분위:2,983,559~3,741,082원","10817","7분위:2,983,559~3,741,082원","11434"
"화곡8동","11500593","dong","6분위:2,440,600~2,983,558원","11350","6분위:2,440,600~2,983,558원","11564","6분위:2,440,600~2,983,558원","11669"
"가양1동","11500603","dong","8분위:3,741,083~4,890,361원","16577","8분위:3,741,083~4,890,361원","19793","7분위:2,983,559~3,741,082원","20797"
"가양2동","11500604","dong","7분위:2,983,559~3,741,082원","7951","7분위:2,983,559~3,741,082원","8104","7분위:2,983,559~3,741,082원","8084"
"가양3동","11500605","dong","7분위:2,983,559~3,741,082원","7787","7분위:2,983,559~3,741,082원","7880","7분위:2,983,559~3,741,082원","7924"
"발산1동","11500611","dong","7분위:2,983,559~3,741,082원","13992","7분위:2,983,559~3,741,082원","13289","7분위:2,983,559~3,741,082원","13532"
"우장산동","11500615","dong","8분위:3,741,083~4,890,361원","16984","8분위:3,741,083~4,890,361원","16473","8분위:3,741,083~4,890,361원","16058"
"공항동","11500620","dong","6분위:2,440,600~2,983,558원","12656","6분위:2,440,600~2,983,558원","13702","7분위:2,983,559~3,741,082원","13880"
"방화1동","11500630","dong","7분위:2,983,559~3,741,082원","14403","7분위:2,983,559~3,741,082원","14362","7분위:2,983,559~3,741,082원","14591"
"방화2동","11500640","dong","6분위:2,440,600~2,983,558원","11188","6분위:2,440,600~2,983,558원","11321","6분위:2,440,600~2,983,558원","11566"
"방화3동","11500641","dong","7분위:2,983,559~3,741,082원","11369","7분위:2,983,559~3,741,082원","11206","7분위:2,983,559~3,741,082원","11256"
"구로구","11530","gu","7분위:2,983,559~3,741,082원","171504","7분위:2,983,559~3,741,082원","170708","7분위:2,983,559~3,741,082원","172000"
"신도림동","11530510","dong","8분위:3,741,083~4,890,361원","13358","8분위:3,741,083~4,890,361원","12422","8분위:3,741,083~4,890,361원","13405"
"구로1동","11530520","dong","7분위:2,983,559~3,741,082원","7925","7분위:2,983,559~3,741,082원","7862","7분위:2,983,559~3,741,082원","7817"
"구로2동","11530530","dong","6분위:2,440,600~2,983,558원","13042","6분위:2,440,600~2,983,558원","12799","6분위:2,440,600~2,983,558원","12746"
"구로3동","11530540","dong","7분위:2,983,559~3,741,082원","13224","7분위:2,983,559~3,741,082원","13378","6분위:2,440,600~2,983,558원","13099"
"구로4동","11530550","dong","6분위:2,440,600~2,983,558원","10753","6분위:2,440,600~2,983,558원","10594","6분위:2,440,600~2,983,558원","10551"
"구로5동","11530560","dong","7분위:2,983,559~3,741,082원","13969","7분위:2,983,559~3,741,082원","14407","7분위:2,983,559~3,741,082원","14489"
"가리봉동","11530595","dong","6분위:2,440,600~2,983,558원","5975","5분위:2,020,852~2,440,599원","5864","5분위:2,020,852~2,440,599원","5806"
"고척1동","11530720","dong","7분위:2,983,559~3,741,082원","9813","7분위:2,983,559~3,741,082원","9309","6분위:2,440,600~2,983,558원","9655"
"고척2동","11530730","dong","7분위:2,983,559~3,741,082원","11652","7분위:2,983,559~3,741,082원","11692","6분위:2,440,600~2,983,558원","11675"
"개봉1동","11530740","dong","6분위:2,440,600~2,983,558원","13887","6분위:2,440,600~2,983,558원","13802","6분위:2,440,600~2,983,558원","13786"
"개봉2동","11530750","dong","7분위:2,983,559~3,741,082원","12736","7분위:2,983,559~3,741,082원","12346","6분위:2,440,600~2,983,558원","12252"
"개봉3동","11530760","dong","6분위:2,440,600~2,983,558원","9067","6분위:2,440,600~2,983,558원","9054","6분위:2,440,600~2,983,558원","9104"
"오류1동","11530770","dong","6분위:2,440,600~2,983,558원","9450","6분위:2,440,600~2,983,558원","10565","6분위:2,440,600~2,983,558원","11250"
"오류2동","11530780","dong","7분위:2,983,559~3,741,082원","16833","6분위:2,440,600~2,983,558원","16834","6분위:2,440,600~2,983,558원","16598"
"수궁동","11530790","dong","6분위:2,440,600~2,983,558원","9820","6분위:2,440,600~2,983,558원","9780","6분위:2,440,600~2,983,558원","9767"
"금천구","11545","gu","6분위:2,440,600~2,983,558원","105799","6분위:2,440,600~2,983,558원","106307","6분위:2,440,600~2,983,558원","110168"
"가산동","11545510","dong","6분위:2,440,600~2,983,558원","11494","6분위:2,440,600~2,983,558원","12909","6분위:2,440,600~2,983,558원","13703"
"독산1동","11545610","dong","7분위:2,983,559~3,741,082원","16895","7분위:2,983,559~3,741,082원","17533","7분위:2,983,559~3,741,082원","19958"
"독산2동","11545620","dong","5분위:2,020,852~2,440,599원","9567","5분위:2,020,852~2,440,599원","9336","5분위:2,020,852~2,440,599원","9227"
"독산3동","11545630","dong","6분위:2,440,600~2,983,558원","12111","6분위:2,440,600~2,983,558원","12267","5분위:2,020,852~2,440,599원","12365"
"독산4동","11545640","dong","5분위:2,020,852~2,440,599원","7662","5분위:2,020,852~2,440,599원","7625","5분위:2,020,852~2,440,599원","7589"
"시흥1동","11545670","dong","6분위:2,440,600~2,983,558원","15675","6분위:2,440,600~2,983,558원","15162","6분위:2,440,600~2,983,558원","15818"
"시흥2동","11545680","dong","7분위:2,983,559~3,741,082원","8871","7분위:2,983,559~3,741,082원","8458","7분위:2,983,559~3,741,082원","8429"
"시흥3동","11545690","dong","6분위:2,440,600~2,983,558원","4812","6분위:2,440,600~2,983,558원","4614","6분위:2,440,600~2,983,558원","4717"
"시흥4동","11545700","dong","6분위:2,440,600~2,983,558원","10087","6분위:2,440,600~2,983,558원","9845","5분위:2,020,852~2,440,599원","9835"
"시흥5동","11545710","dong","6분위:2,440,600~2,983,558원","8625","6분위:2,440,600~2,983,558원","8558","5분위:2,020,852~2,440,599원","8527"
"영등포구","11560","gu","8분위:3,741,083~4,890,361원","166520","8분위:3,741,083~4,890,361원","168468","7분위:2,983,559~3,741,082원","172256"
"영등포본동","11560515","dong","7분위:2,983,559~3,741,082원","10876","7분위:2,983,559~3,741,082원","10040","7분위:2,983,559~3,741,082원","10171"
"영등포동","11560535","dong","7분위:2,983,559~3,741,082원","12826","8분위:3,741,083~4,890,361원","15966","7분위:2,983,559~3,741,082원","16976"
"여의동","11560540","dong","9분위:4,890,362~6,945,811원","13054","9분위:4,890,362~6,945,811원","12681","9분위:4,890,362~6,945,811원","13529"
"당산1동","11560550","dong","7분위:2,983,559~3,741,082원","9827","7분위:2,983,559~3,741,082원","10232","7분위:2,983,559~3,741,082원","10486"
"당산2동","11560560","dong","8분위:3,741,083~4,890,361원","16069","8분위:3,741,083~4,890,361원","16778","8분위:3,741,083~4,890,361원","17095"
"도림동","11560585","dong","7분위:2,983,559~3,741,082원","9354","7분위:2,983,559~3,741,082원","8948","7분위:2,983,559~3,741,082원","9269"
"문래동","11560605","dong","8분위:3,741,083~4,890,361원","12495","8분위:3,741,083~4,890,361원","12338","8분위:3,741,083~4,890,361원","12446"
"양평1동","11560610","dong","7분위:2,983,559~3,741,082원","7929","7분위:2,983,559~3,741,082원","8505","7분위:2,983,559~3,741,082원","8765"
"양평2동","11560620","dong","8분위:3,741,083~4,890,361원","9582","8분위:3,741,083~4,890,361원","9930","7분위:2,983,559~3,741,082원","9797"
"신길1동","11560630","dong","6분위:2,440,600~2,983,558원","9797","6분위:2,440,600~2,983,558원","9663","6분위:2,440,600~2,983,558원","9849"
"신길3동","11560650","dong","7분위:2,983,559~3,741,082원","7088","7분위:2,983,559~3,741,082원","6881","7분위:2,983,559~3,741,082원","6876"
"신길4동","11560660","dong","6분위:2,440,600~2,983,558원","4550","6분위:2,440,600~2,983,558원","4315","6분위:2,440,600~2,983,558원","4232"
"신길5동","11560670","dong","6분위:2,440,600~2,983,558원","5244","6분위:2,440,600~2,983,558원","4574","6분위:2,440,600~2,983,558원","4255"
"신길6동","11560680","dong","7분위:2,983,559~3,741,082원","8091","7분위:2,983,559~3,741,082원","8273","7분위:2,983,559~3,741,082원","8778"
"신길7동","11560690","dong","7분위:2,983,559~3,741,082원","6096","7분위:2,983,559~3,741,082원","6129","7분위:2,983,559~3,741,082원","6129"
"대림1동","11560700","dong","6분위:2,440,600~2,983,558원","6310","6분위:2,440,600~2,983,558원","6418","6분위:2,440,600~2,983,558원","6330"
"대림2동","11560710","dong","6분위:2,440,600~2,983,558원","6418","6분위:2,440,600~2,983,558원","6426","6분위:2,440,600~2,983,558원","6796"
"대림3동","11560720","dong","7분위:2,983,559~3,741,082원","10914","7분위:2,983,559~3,741,082원","10371","6분위:2,440,600~2,983,558원","10477"
"동작구","11590","gu","7분위:2,983,559~3,741,082원","173520","7분위:2,983,559~3,741,082원","175301","7분위:2,983,559~3,741,082원","180657"
"노량진1동","11590510","dong","8분위:3,741,083~4,890,361원","14403","8분위:3,741,083~4,890,361원","14776","7분위:2,983,559~3,741,082원","15039"
"노량진2동","11590520","dong","6분위:2,440,600~2,983,558원","7450","6분위:2,440,600~2,983,558원","7663","6분위:2,440,600~2,983,558원","7656"
"상도1동","11590530","dong","8분위:3,741,083~4,890,361원","20879","8분위:3,741,083~4,890,361원","21153","8분위:3,741,083~4,890,361원","21217"
"상도2동","11590540","dong","8분위:3,741,083~4,890,361원","11302","8분위:3,741,083~4,890,361원","11336","8분위:3,741,083~4,890,361원","12415"
"상도3동","11590550","dong","6분위:2,440,600~2,983,558원","11282","6분위:2,440,600~2,983,558원","11617","6분위:2,440,600~2,983,558원","11885"
"상도4동","11590560","dong","6분위:2,440,600~2,983,558원","12798","6분위:2,440,600~2,983,558원","13034","6분위:2,440,600~2,983,558원","13367"
"흑석동","11590605","dong","8분위:3,741,083~4,890,361원","14129","8분위:3,741,083~4,890,361원","12844","8분위:3,741,083~4,890,361원","14280"
"사당1동","11590620","dong","7분위:2,983,559~3,741,082원","11737","7분위:2,983,559~3,741,082원","12430","6분위:2,440,600~2,983,558원","13015"
"사당2동","11590630","dong","8분위:3,741,083~4,890,361원","11907","8분위:3,741,083~4,890,361원","11934","8분위:3,741,083~4,890,361원","11893"
"사당3동","11590640","dong","8분위:3,741,083~4,890,361원","10197","8분위:3,741,083~4,890,361원","9990","8분위:3,741,083~4,890,361원","10596"
"사당4동","11590650","dong","7분위:2,983,559~3,741,082원","6375","7분위:2,983,559~3,741,082원","6784","6분위:2,440,600~2,983,558원","6969"
"사당5동","11590651","dong","7분위:2,983,559~3,741,082원","5713","7분위:2,983,559~3,741,082원","5615","7분위:2,983,559~3,741,082원","5649"
"대방동","11590660","dong","8분위:3,741,083~4,890,361원","16421","7분위:2,983,559~3,741,082원","16881","7분위:2,983,559~3,741,082원","17164"
"신대방1동","11590670","dong","8분위:3,741,083~4,890,361원","9914","8분위:3,741,083~4,890,361원","9835","8분위:3,741,083~4,890,361원","9932"
"신대방2동","11590680","dong","7분위:2,983,559~3,741,082원","9013","7분위:2,983,559~3,741,082원","9409","7분위:2,983,559~3,741,082원","9580"
"관악구","11620","gu","6분위:2,440,600~2,983,558원","254177","6분위:2,440,600~2,983,558원","261563","6분위:2,440,600~2,983,558원","267897"
"보라매동","11620525","dong","6분위:2,440,600~2,983,558원","11516","6분위:2,440,600~2,983,558원","11704","6분위:2,440,600~2,983,558원","11808"
"청림동","11620545","dong","8분위:3,741,083~4,890,361원","6870","8분위:3,741,083~4,890,361원","7013","7분위:2,983,559~3,741,082원","6590"
"성현동","11620565","dong","7분위:2,983,559~3,741,082원","13527","7분위:2,983,559~3,741,082원","13025","7분위:2,983,559~3,741,082원","15389"
"행운동","11620575","dong","7분위:2,983,559~3,741,082원","16189","7분위:2,983,559~3,741,082원","16788","6분위:2,440,600~2,983,558원","16780"
"낙성대동","11620585","dong","7분위:2,983,559~3,741,082원","9788","7분위:2,983,559~3,741,082원","10081","7분위:2,983,559~3,741,082원","10117"
"청룡동","11620595","dong","6분위:2,440,600~2,983,558원","16371","6분위:2,440,600~2,983,558원","18075","6분위:2,440,600~2,983,558원","19237"
"은천동","11620605","dong","7분위:2,983,559~3,741,082원","15481","7분위:2,983,559~3,741,082원","15559","7분위:2,983,559~3,741,082원","15697"
"중앙동","11620615","dong","6분위:2,440,600~2,983,558원","8441","6분위:2,440,600~2,983,558원","8948","6분위:2,440,600~2,983,558원","9218"
"인헌동","11620625","dong","7분위:2,983,559~3,741,082원","13692","6분위:2,440,600~2,983,558원","13867","6분위:2,440,600~2,983,558원","13854"
"남현동","11620630","dong","7분위:2,983,559~3,741,082원","9017","7분위:2,983,559~3,741,082원","9143","7분위:2,983,559~3,741,082원","9388"
"서원동","11620645","dong","6분위:2,440,600~2,983,558원","12627","6분위:2,440,600~2,983,558원","13146","5분위:2,020,852~2,440,599원","13685"
"신원동","11620655","dong","6분위:2,440,600~2,983,558원","9766","6분위:2,440,600~2,983,558원","10275","5분위:2,020,852~2,440,599원","10359"
"서림동","11620665","dong","6분위:2,440,600~2,983,558원","14053","6분위:2,440,600~2,983,558원","14167","6분위:2,440,600~2,983,558원","14979"
"신사동","11620685","dong","6분위:2,440,600~2,983,558원","12273","6분위:2,440,600~2,983,558원","12874","5분위:2,020,852~2,440,599원","13168"
"신림동","11620695","dong","6분위:2,440,600~2,983,558원","14395","6분위:2,440,600~2,983,558원","16028","5분위:2,020,852~2,440,599원","16681"
"난향동","11620715","dong","7분위:2,983,559~3,741,082원","6730","7분위:2,983,559~3,741,082원","6475","7분위:2,983,559~3,741,082원","6444"
"조원동","11620725","dong","6분위:2,440,600~2,983,558원","9530","6분위:2,440,600~2,983,558원","10020","6분위:2,440,600~2,983,558원","10208"
"대학동","11620735","dong","6분위:2,440,600~2,983,558원","14735","6분위:2,440,600~2,983,558원","15638","6분위:2,440,600~2,983,558원","16074"
"삼성동","11620745","dong","6분위:2,440,600~2,983,558원","11876","6분위:2,440,600~2,983,558원","12186","6분위:2,440,600~2,983,558원","11450"
"미성동","11620765","dong","6분위:2,440,600~2,983,558원","14102","6분위:2,440,600~2,983,558원","13829","6분위:2,440,600~2,983,558원","14025"
"난곡동","11620775","dong","5분위:2,020,852~2,440,599원","13198","5분위:2,020,852~2,440,599원","12722","5분위:2,020,852~2,440,599원","12746"
"서초구","11650","gu","9분위:4,890,362~6,945,811원","173509","9분위:4,890,362~6,945,811원","172376","9분위:4,890,362~6,945,811원","170179"
"서초1동","11650510","dong","9분위:4,890,362~6,945,811원","8981","9분위:4,890,362~6,945,811원","9226","8분위:3,741,083~4,890,361원","9376"
"서초2동","11650520","dong","9분위:4,890,362~6,945,811원","7098","9분위:4,890,362~6,945,811원","7901","9분위:4,890,362~6,945,811원","8345"
"서초3동","11650530","dong","9분위:4,890,362~6,945,811원","12279","9분위:4,890,362~6,945,811원","13191","8분위:3,741,083~4,890,361원","13289"
"서초4동","11650531","dong","10분위:6945812원 이상","10053","9분위:4,890,362~6,945,811원","10962","9분위:4,890,362~6,945,811원","10668"
"잠원동","11650540","dong","9분위:4,890,362~6,945,811원","13900","9분위:4,890,362~6,945,811원","13772","9분위:4,890,362~6,945,811원","13628"
"반포본동","11650550","dong","9분위:4,890,362~6,945,811원","4300","9분위:4,890,362~6,945,811원","4224","9분위:4,890,362~6,945,811원","4134"
"반포1동","11650560","dong","9분위:4,890,362~6,945,811원","12806","9분위:4,890,362~6,945,811원","13296","9분위:4,890,362~6,945,811원","13583"
"반포2동","11650570","dong","9분위:4,890,362~6,945,811원","8152","9분위:4,890,362~6,945,811원","5845","9분위:4,890,362~6,945,811원","5121"
"반포3동","11650580","dong","9분위:4,890,362~6,945,811원","6588","9분위:4,890,362~6,945,811원","6775","9분위:4,890,362~6,945,811원","6434"
"반포4동","11650581","dong","9분위:4,890,362~6,945,811원","7307","9분위:4,890,362~6,945,811원","7249","9분위:4,890,362~6,945,811원","7288"
"방배본동","11650590","dong","9분위:4,890,362~6,945,811원","7992","9분위:4,890,362~6,945,811원","7876","8분위:3,741,083~4,890,361원","7857"
"방배1동","11650600","dong","8분위:3,741,083~4,890,361원","7216","8분위:3,741,083~4,890,361원","7515","8분위:3,741,083~4,890,361원","7580"
